Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
No One Can Stop Us,"Dipha Barus, Kallula",No One Can Stop Us,14x3Reg43my2MEoodVH1fg,46aUJjSBFZMQdETmrNd6GI,43,2016-03-24,194792,False,https://open.spotify.com/track/46aUJjSBFZMQdETmrNd6GI,0.704,0.788,10,-4.167,1,0.0355,0.0733,0.000142,0.252,0.393,97.993
All Good,"Dipha Barus, Nadin Amizah",All Good,5b5nv0yq43oHzu1HcuY3ZI,3s8ik4CUIZXXGDBgD0EAZ5,45,2017-03-08,193160,False,https://open.spotify.com/track/3s8ik4CUIZXXGDBgD0EAZ5,0.802,0.749,3,-5.372,1,0.106,0.34,7.3e-05,0.0856,0.532,99.972
Menghilanglah Denganku,"Osvaldorio, Indra Prasta",Menghilanglah Denganku,2jAeTdKk27EFlvCpvlt7BP,77oobxLWjphgpSiSlAYsIT,19,2016-11-10,210316,False,https://open.spotify.com/track/77oobxLWjphgpSiSlAYsIT,0.785,0.718,9,-4.416,1,0.0394,0.748,1.65e-05,0.104,0.607,94.994
DPS,Weird Genius,DPS,5dF0gPnqftl0QgtDtLTi0e,3k0QyuN82BkCvBwlW6CwW8,42,2017-03-09,194957,False,https://open.spotify.com/track/3k0QyuN82BkCvBwlW6CwW8,0.82,0.875,3,-4.154,1,0.0429,0.166,4.64e-06,0.49,0.615,119.992
Big Bang,"Weird Genius, Letty",Big Bang,58sP7sc4pmVzfZMdBv0U3r,66iOFWqXu3DTt4toJ9Xq2H,35,2017-07-14,197972,False,https://open.spotify.com/track/66iOFWqXu3DTt4toJ9Xq2H,0.817,0.921,5,-1.991,0,0.05,0.305,0.0,0.139,0.5,99.988
Dreams,"DOLF, Weird Genius, Rochelle",Dreams,4fkenGzr99IB06WfkdcWF2,6di9uXrlZiWUtBd69gqahD,40,2018-02-09,161216,False,https://open.spotify.com/track/6di9uXrlZiWUtBd69gqahD,0.612,0.526,6,-6.365,1,0.0306,0.429,0.0,0.114,0.229,80.001
You're The Kind,"Osvaldorio, Sheila Dara Aisha",You're The Kind,2k0EMPfIroQmmFY9mM11l5,6Ga1EKwdVuePkjAehX7ywI,12,2018-02-23,191182,False,https://open.spotify.com/track/6Ga1EKwdVuePkjAehX7ywI,0.744,0.837,7,-2.832,1,0.0393,0.243,0.000568,0.343,0.745,109.963
Lunatic,Weird Genius,Lunatic,2SonMo2k6USgG5s7YWqbTH,4nseSfhXEb2cgbFo7Cdd74,41,2017-03-10,195500,True,https://open.spotify.com/track/4nseSfhXEb2cgbFo7Cdd74,0.597,0.924,6,-1.842,0,0.0412,0.0051,4.21e-06,0.206,0.444,150.009
Sweet Scar,"Weird Genius, Prince Husein, Eka Gustiwana, Reza Oktovian, Billy Taner",Sweet Scar,3IlfbLXXM2MHrb5Yv8CJn1,3R0FDwQSXOiO5gaOZFxKZ5,57,2017-09-07,194855,False,https://open.spotify.com/track/3R0FDwQSXOiO5gaOZFxKZ5,0.529,0.857,0,-1.183,1,0.0385,0.246,0.0,0.0989,0.417,150.143
Digital Love,"Mardial, Ramengvrl",Mardial & Friends,2WO5hG0cG3imkLfb7BU0j1,2ZIIaB50Dc5LN2FVzOordQ,22,2017-12-23,185893,True,https://open.spotify.com/track/2ZIIaB50Dc5LN2FVzOordQ,0.671,0.908,11,-6.549,1,0.0365,0.0737,0.0,0.111,0.545,111.995
I AM ME,Ramengvrl,I AM ME,2lnvGKz1MPILzM3G3aHw8c,5Ga159MBI3o7b8cgSEpVWz,35,2018-12-07,218142,True,https://open.spotify.com/track/5Ga159MBI3o7b8cgSEpVWz,0.582,0.847,2,-5.642,1,0.258,0.204,0.0,0.105,0.501,149.97
If I Die,"DOLF, DJ SODA",Nighttime,4pgIW5Cfsf3ShUpNl5zUp3,50nQvrEGglpXk3ng6AYjQ5,35,2017-08-11,165825,False,https://open.spotify.com/track/50nQvrEGglpXk3ng6AYjQ5,0.526,0.778,1,-4.572,0,0.0905,0.0209,0.0,0.176,0.307,155.188
Catch Me (feat. Naaz),"Yellow Claw, Flux Pavilion, Naaz",Blood For Mercy,7ACxS7rtYV8HyHgj0FD0cb,4UIAJ1WnUvAPPdkzq2rn1i,49,2015-11-20,162383,False,https://open.spotify.com/track/4UIAJ1WnUvAPPdkzq2rn1i,0.56,0.916,7,-3.328,0,0.0661,0.0362,0.000963,0.102,0.585,144.933
Both of Us,"Yellow Claw, STORi",New Blood,1mYDKw3w4jPWautkQEs56K,1FDGTwqfK4mmwFZOd7qn5H,46,2018-06-22,198210,False,https://open.spotify.com/track/1FDGTwqfK4mmwFZOd7qn5H,0.559,0.715,5,-3.773,1,0.0636,0.347,0.0136,0.288,0.335,159.975
Invitation,"Yellow Claw, Yade Lauren",Los Amsterdam,7AFAXZLmKp1WTspkvvKQ3w,26D28QBtBmqhhIwvyPVPT6,36,2017-03-31,152610,False,https://open.spotify.com/track/26D28QBtBmqhhIwvyPVPT6,0.602,0.857,5,-5.574,0,0.0748,0.0944,2.98e-05,0.755,0.637,103.881
Shotgun,"Yellow Claw, Rochelle",Shotgun,1GVHHC8lxJhqkmvZsIfHZx,35hlQfjBxCEULp5M20imRc,52,2013-11-01,193659,True,https://open.spotify.com/track/35hlQfjBxCEULp5M20imRc,0.656,0.908,4,-3.195,0,0.0327,0.0114,0.212,0.17,0.232,144.983
dashstar*,Knock2,dashstar*,3AQFV0Eye3fdkpPHODbxlG,0dAfw35k2hBsnbSl74AVJF,60,2021-02-05,198095,False,https://open.spotify.com/track/0dAfw35k2hBsnbSl74AVJF,0.699,0.949,9,-2.994,1,0.0739,0.00872,0.328,0.151,0.186,126.07
Lonely Together (feat. Rita Ora),"Avicii, Rita Ora",AVĪCI (01),0XV4cXBFmXIhQnQMYUX9u6,2OALaHcDdKkjYEpAr0Qzab,54,2017-08-09,181812,False,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,0.655,0.666,5,-5.309,1,0.0612,0.134,2.12e-05,0.0683,0.272,102.977
The Nights,Avicii,The Days / Nights,0h2knr6qpiAq0tV5ri5JMF,0ct6r3EGTcMLPtrXHDvVjc,85,2014-01-01,176658,False,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983
Wake Me Up,Avicii,True,2H6i2CrWgXE1HookLu8Au0,0nrRP2bk19rLc0orkWPQk2,86,2013-01-01,247427,False,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
Roses,"The Chainsmokers, ROZES",Roses,2GFflENKz28RcMoSuulPZC,3vv9phIu6Y1vX3jcqaGz5Z,74,2015-06-16,226739,False,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001
Paris,The Chainsmokers,Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr,72jbDTw1piOOj770jWNeaG,75,2017-04-07,221507,False,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99
Closer,"The Chainsmokers, Halsey",Closer,0rSLgV8p5FzfnqlEk4GzxE,7BKLCZ1jbUBVqRi2FVlTVw,86,2016-07-29,244960,False,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
Middle,"DJ Snake, Bipolar Sunshine",Encore,02sEJTj1sye1JaqxqpcSCp,0g5EKLgdKvNlln7TNqBByK,75,2016-08-05,220573,False,https://open.spotify.com/track/0g5EKLgdKvNlln7TNqBByK,0.583,0.695,9,-5.336,1,0.0423,0.0138,0.0,0.0527,0.224,104.879
This Feeling,"The Chainsmokers, Kelsea Ballerini",Sick Boy,6ZvDJs17O3woQirttKRYCG,4NBTZtAt1F13VvlSKe6KTl,70,2018-12-14,197947,False,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,0.575,0.571,1,-7.906,1,0.0439,0.0558,0.0,0.0912,0.449,105.049
All We Know,"The Chainsmokers, Phoebe Ryan",All We Know,0xmaV6EtJ4M3ebZUPRnhyb,2rizacJSyD9S1IQUxUxnsK,67,2016-09-29,194080,False,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0
Let You Go - Radio Edit,"The Chainsmokers, Great Good Fine Ok",Let You Go (Radio Edit),6byfYx5eA7Htb7a5v76LPB,2Mh0jU5IyRTQfpyMnvki5Z,50,2015-03-03,218973,False,https://open.spotify.com/track/2Mh0jU5IyRTQfpyMnvki5Z,0.598,0.882,5,-2.894,1,0.0954,0.27,0.0,0.0793,0.25,125.979
A Different Way (with Lauv),"DJ Snake, Lauv",A Different Way (with Lauv),4PSoaA9rxBDYfrROdI17b9,1YMBg7rOjxzbya0fPOYfNX,62,2017-09-21,198286,False,https://open.spotify.com/track/1YMBg7rOjxzbya0fPOYfNX,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)",3ggBBGRhkDVAu7pQRXRPXO,5Gu0PDLN4YJeW75PpBSg9p,74,2017-09-08,174800,False,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07
Scared to Be Lonely,"Martin Garrix, Dua Lipa",Scared to Be Lonely,2v9rQe4F8fVSh5v8bAq0jF,3ebXMykcMXOcLeJ9xZ17XH,79,2017-01-27,220883,False,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972
I Want You To Know,"Zedd, Selena Gomez",True Colors,4jKdXIJckKh7la6xHuKwRT,1JDIArrcepzWDTAWXdGYmP,65,2015-05-18,240000,False,https://open.spotify.com/track/1JDIArrcepzWDTAWXdGYmP,0.579,0.846,9,-2.876,0,0.0574,0.00537,6.88e-06,0.145,0.367,129.999
Happy Now,"Zedd, Elley Duhé",Happy Now,0JcW7yCW3Qj8uMfzO2lUDb,4keoy2fqgwGnbWlm3ZVZFa,64,2018-07-18,207030,False,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335
Beautiful Now,"Zedd, Jon Bellion",True Colors,4jKdXIJckKh7la6xHuKwRT,2ISSQPb9LHHiV6ng2NXosL,68,2015-05-18,218293,False,https://open.spotify.com/track/2ISSQPb9LHHiV6ng2NXosL,0.628,0.832,11,-4.126,0,0.0282,0.0079,1.46e-05,0.074,0.56,128.003
Starving,"Hailee Steinfeld, Grey, Zedd",Starving,18pR217SWwBjODSRWFBw0I,4Ce37cRWvM1vIGGynKcs22,73,2016-07-22,181880,False,https://open.spotify.com/track/4Ce37cRWvM1vIGGynKcs22,0.728,0.616,4,-4.238,1,0.0645,0.378,0.0,0.105,0.508,99.962
Tie Me Down (with Elley Duhé),"Gryffin, Elley Duhé",Gravity,2IAVHJdaRPFA6MQqXHoG75,2zh01m4PiHaZz4BAm0NRxs,60,2019-10-24,218240,False,https://open.spotify.com/track/2zh01m4PiHaZz4BAm0NRxs,0.608,0.845,6,-2.292,1,0.0597,0.136,0.0,0.111,0.322,98.976
Till It Hurts (feat. Ayden),"Yellow Claw, Ayden",Till It Hurts (feat. Ayden),5j7gJBnJLzY2RGYe9ndCxZ,6HhrMBN43RnGlGv7vIdnM5,57,2014-11-03,188680,False,https://open.spotify.com/track/6HhrMBN43RnGlGv7vIdnM5,0.547,0.886,8,-4.016,1,0.0309,0.000624,0.000274,0.193,0.293,145.053
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),0IUCAsckpNyV4wHKIHQawC,3eR23VReFzcdmS7TYCrhCe,76,2017-02-16,220781,False,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968
Take Me Home (feat. Bebe Rexha),"Cash Cash, Bebe Rexha","Blood, Sweat & 3 Years",0KQDN58Lz8CXOsfIG6tQ7X,7L59vVTpoS94JU3KEeolqt,57,2016-06-24,206320,False,https://open.spotify.com/track/7L59vVTpoS94JU3KEeolqt,0.571,0.903,7,-2.184,1,0.214,0.0615,1.23e-06,0.186,0.477,127.951
2U (feat. Justin Bieber),"David Guetta, Justin Bieber",7: Anniversary Edition,0GJU424RiEyYQTLbZcHVA7,61WR5FfGNLJxpLsAc61qWQ,61,2018,194893,False,https://open.spotify.com/track/61WR5FfGNLJxpLsAc61qWQ,0.535,0.612,8,-7.406,0,0.0584,0.233,0.0,0.227,0.521,144.881
Cold Water,"Major Lazer, Justin Bieber, MØ",Major Lazer Essentials,2TVyGtVP8przbQk6f2oSXl,13pVIIellD76zNT1APT1De,67,2018-10-19,185352,False,https://open.spotify.com/track/13pVIIellD76zNT1APT1De,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.5,92.946
Ain't My Fault - R3hab Remix,"Zara Larsson, R3HAB",Ain't My Fault (R3hab Remix),2GmlMoRLlTxdQHpgrgaeAT,3YPlsrk0Voe8AOa1jyN891,55,2016-10-07,158773,False,https://open.spotify.com/track/3YPlsrk0Voe8AOa1jyN891,0.67,0.847,9,-3.723,1,0.043,0.0156,0.0,0.22,0.613,150.109
The Middle,"Zedd, Maren Morris, Grey",The Middle,7nEiwcUSwycvC77kZ9ub7c,09IStsImFySgyp0pIQdqAc,78,2018-01-23,184732,False,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01
More Than You Know,Axwell /\ Ingrosso,More Than You Know,6Ei5WWek37m1x9AjpSXTcJ,6h5PAsRni4IRlxWr6uDPTP,80,2017-07-28,203000,False,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077
Wolves,"Selena Gomez, Marshmello",Wolves,5gQZvWM1o8NkQndueJtZcP,0tBbt8CrmxbjRP0pueQkyU,77,2017-10-25,197993,False,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,0.725,0.804,11,-4.614,0,0.0422,0.124,0.0,0.204,0.31,124.996
Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",AVĪCI (01),1m3mf7xkXIwssVriaaTjOS,6Pgkp4qUoTmJIPn7ReaGxL,79,2017-08-10,181673,True,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993
Inside Out,"The Chainsmokers, Charlee",Inside Out,7mgjbCQ1gzFbASVLgD8YbV,7sG2bWi2eDtvX9vX8yC1Gn,52,2016-04-01,233773,False,https://open.spotify.com/track/7sG2bWi2eDtvX9vX8yC1Gn,0.545,0.65,7,-5.853,0,0.0315,0.00308,7.98e-06,0.122,0.121,143.937
The Ocean (feat. Shy Martin),"Mike Perry, shy martin",The Ocean (feat. Shy Martin),4pgNeQfSctryAw4e0uESHe,2CPqh63wRVscbceKcPxwvv,68,2016-04-15,183414,False,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037
Silence,"Marshmello, Khalid",Silence,2bw00gRKNKbTFOqCkohbSh,7vGuf3Y35N4wmASOKLUVVU,83,2017-08-11,180823,False,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971
Let Me Love You,"DJ Snake, Justin Bieber",Encore,02sEJTj1sye1JaqxqpcSCp,0lYBSQXN6rCTvUZvg9S0lU,84,2016-08-05,205947,False,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892
Light It Up (feat. Nyla & Fuse ODG) - Remix,"Major Lazer, Nyla, Fuse ODG",Peace Is the Mission (Extended Edition),0OY2WzmmPG8yRZzmMeTX9N,6lDo13SSgTv0WbyUQKgnjk,53,2015-11-27,166138,False,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985
All My Love (feat. Ariana Grande & Machel Montano) - Remix,"Major Lazer, Ariana Grande, Machel Montano",Peace Is The Mission,4b6Si351g8brcy6TtHFn13,3GYcfRApdlbOz2UJdOwGju,28,2015-06-01,229751,False,https://open.spotify.com/track/3GYcfRApdlbOz2UJdOwGju,0.435,0.891,2,-3.907,0,0.178,0.0399,0.0,0.187,0.437,115.166
"Freal Luv (feat. Marshmello, Chanyeol & Tinashe)","Far East Movement, CHANYEOL, Marshmello, Tinashe",Identity,5yCLcHxaYIV6xC1kTJO1W2,7IAXZyP3QSuvd5NQNOOYQB,49,2016-10-21,190345,False,https://open.spotify.com/track/7IAXZyP3QSuvd5NQNOOYQB,0.645,0.813,8,-5.947,0,0.0655,0.139,1.27e-06,0.211,0.476,145.027
Levels - Radio Edit,Avicii,Levels,1OEGfToF7QbjUgyxMAnGXg,5UqCQaDshqbIk3pkhy4Pjg,80,2011-10-28,199907,False,https://open.spotify.com/track/5UqCQaDshqbIk3pkhy4Pjg,0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04
LUV U NEED U,Slushii,LUV U NEED U,2UtExGWJgKjkxT5V7RBIY2,23mQCWkhYaYieuwOY9XPsB,0,2017-06-12,146709,False,https://open.spotify.com/track/23mQCWkhYaYieuwOY9XPsB,0.774,0.81,1,-2.984,0,0.0734,0.186,0.00949,0.0261,0.975,146.95
I Still Recall,Slushii,I Still Recall,2dh0vU2Xa4kyvE7ul0ZY6O,4bDLPM8xumo7gXl71QDtkg,21,2017-01-13,192253,False,https://open.spotify.com/track/4bDLPM8xumo7gXl71QDtkg,0.553,0.699,2,-4.403,1,0.0572,0.699,4.17e-06,0.0996,0.226,147.081
Ritual (feat. Wrabel),"Marshmello, Wrabel",Ritual (feat. Wrabel),3mwc5RiHDXgirCArUrt7HH,04AYgtKFrpldRXe5y0LNGQ,51,2016-10-27,237473,False,https://open.spotify.com/track/04AYgtKFrpldRXe5y0LNGQ,0.561,0.946,10,-0.899,1,0.128,0.00848,2.05e-05,0.0635,0.3,109.891
Face My Fears (Japanese Version),"Hikaru Utada, Skrillex",Face My Fears,78yYCNxcHTH0Ugsekj8kbQ,7nHeBk3OsoBCLlQNpSxEgn,42,2019-01-18,222013,False,https://open.spotify.com/track/7nHeBk3OsoBCLlQNpSxEgn,0.626,0.729,1,-6.785,0,0.102,0.0135,0.0,0.133,0.441,159.762
Where Are Ü Now (with Justin Bieber),"Jack Ü, Skrillex, Diplo, Justin Bieber",Skrillex and Diplo present Jack Ü,6bfkwBrGYKJFk6Z4QVyjxd,66hayvUbTotekKU3H4ta1f,74,2015-02-24,250286,False,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432
